Номер реестровой записи контракта;Заказчик: ИНН;Предмет контракта;Цена контракта;Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН
'2780576562221000001';'7805765622';'Оказание услуг связи';'19 512,00';'7825444176'
'2780514930220000043';'7805149302';'Услуги связи проводного радиовещания';'3 628,80';'7712005121'
'2390501046624000088';'3905010466';'Поставка детского питания';'162 504,00';'3906982190'
'2773411532923000240';'7734115329';"'Поставка реагентов для коагулометров ACL TOP производства ""Инструментэйшн Лаборатори С.П.А."",  лот 2.'";'1 456 006,48';'9705156959'
'2243300102223000166';'2433001022';'ЭА-№-16947/23 «АСКОРБИНОВАЯ КИСЛОТА»';'2 380,50';'2466189073'
'2420534966424000468';'4205349664';'Поставка лекарственных препаратов (приобретение товаров в пользу граждан в целях их социального обеспечения)';'288 784,80';'7705983024'
'2771303416424000422';'7713034164';"'Электронный аукцион на поставку расходных материалов (отведение дефибриллятора эндокардиальное) для отделения хирургического лечения сложных нарушений ритма сердца и ЭКС ГБУЗ ""ГКБ им. В.В. Вересаева ДЗМ"" в 2024-2025гг. по ВМП (за единицу продукции)'";'3 432 156,80';'2124045632'
'3310202073124000002';'3102020731';'Поставка продукции радиоэлектронной промышленности';'507 038,78';'2311305697'
'3070900469323000031';'0709004693';'Содержание городских территорий, прилегающих к автомобильным дорогам, январь-апрель 2024 года';'6 500 000,00';'071407667362'
'3524303063024000001';'5243030630';'Поставка бумаги для офисной техники';'60 672,60';'5261031002'
'1382600353024000035';'3826003530';'Прочая закупка товаров, работ и услуг (Культиватор)';'1 086 333,33';'2130098336'
'2683000213223000119';'6830002132';'Поставка лекарственного средства Рекомбинантный белок, содержащий аминокислотную последовательность стафилокиназы.';'1 200 822,48';'7604362486'
'2773411532924000308';'7734115329';'Поставка линий удлинительных для введения контраста';'275 660,00';'7802664190'
'3170400254223000001';'1704002542';'Закупка по энергоснабжению электрической энергии с гарантирующим поставщиком электрической энергии';'922 856,44';'1701029232'
'1325005735819000018';'3250057358';'Подача согласованного количества тепловой энергии в течении срока действия настоящего Контракта.';'133 000,00';'3250054100'
'2691200243024000023';'6912002430';'Поставка продуктов питания (фрукты) (совместная закупка) лот №1';'196 009,38';'690891575969'
'1780404367024000010';'7804043670';'Оказание услуг по техническому обслуживанию рентгеновских установок для досмотра багажа и товаров «ADANI BV 6080»';'21 884,31';'7802622714'
'1332810123824000064';'3328101238';'Поставка хозяйственных товаров (корзины, мешки для мусора)';'67 696,87';'524911648784'
'3440101234623000003';'4401012346';"'Услуги по удалению и очистке сточных отходов; Вода природная; услуги по очистке воды и водоснабжению'";'340 949,34';'4401000622'
'2420503880624000013';'4205038806';'Поставка наборов бокалов в подарочной коробке';'7 267 204,68';'420700075206'
'3450200608124000052';'4502006081';'Аварийно-восстановительные работы на тепловой сети ул.Ленина, 119';'29 590,96';'450201366216'
'2230802710424000091';'2308027104';'Поставка лекарственных препаратов (МНН: Кеторолак)';'68 204,75';'1327029200'
'2781020103620000018';'7810201036';'Поставка картриджей';'67 625,00';'7806089737'
'2780600434923000138';'7806004349';'Выполнение работ  по проведению государственной экспертизы в части проверки достоверности определения сметной  стоимости работ по капитальному ремонту в отношении объекта капитального строительства: Капитальный  ремонт помещений кабинета участкового врача-педиатра по адресу: г. Санкт-Петербург, Пискаревский пр.,  д. 165, корпус 1, строение 1, пом. 39Н, 40Н';'80 721,06';'7840422787'
'2243300102224000037';'2433001022';'ЭА-№-19747/23 «АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА»';'1 150,00';'2466189073'
'2773411532924000328';'7734115329';'Поставка оборудования для обеспечения пожарной безопасности, лот 1';'155 978,39';'5029206821'
'1771406175624000189';'7714061756';'Поставка прокси карт СКУД для нужд ФГБУ «НМИЦ гематологии» Минздрава России';'11 800,00';'4345338750'
'2390501046624000067';'3905010466';'Поставка лекарственных препаратов для медицинского применения (МНН: ОМАЛИЗУМАБ)';'1 651 050,00';'7806005744'
'3501710905124000005';'5017109051';'Поставка емкостей для технической воды';'186 034,00';'7734712519'
'2526041798024000021';'5260417980';'Приобретение в государственную собственность Нижегородской области недвижимого имущества';'151 194 000,00';'5260262776'
'1770613767324000057';'7706137673';'Поставка индикаторов биологических';'261 120,00';'5754027370'
'3502723630924000007';'5027236309';'Поставка перчаток трикотажных для защиты от внешних воздействий для нужд Муниципального бюджетного учреждения городского округа Котельники Московской области «СПЕЦТРАНС»';'35 544,00';'667471308675'
'2773106272824000044';'7731062728';'Аукцион в электронной форме на право заключения контракта на поставку картриджей для копировально-печатающих устройств ГБУЗ «КДЦ № 4 ДЗМ».';'23 989,71';'9718227580'
'3550502268623000001';'5505022686';'Оказание услуг по организации горячего питания обучающихся 1-4 классов';'2 928 690,00';'550516632545'
'2773411532922001079';'7734115329';"'Поставка реагентов и расходного материала для систем автоматического электрофореза Сapillaris-2FP, Hydrasys 1211, производства ""Себиа С.А."", лот 3'";'2 636 959,16';'9705156959'
'2771303416424000471';'7713034164';"'Электронный аукцион на поставку расходных материалов (проводник) для отделения хирургического лечения сложных нарушений ритма сердца и ЭКС ГБУЗ ""ГКБ им. В.В. Вересаева ДЗМ"" в 2024-2025гг. по ВМП'";'94 659,80';'7707457281'
'2745314866424000091';'7453148664';'Поставка кранов';'94 889,86';'7813257774'
'2771307021124000039';'7713070211';'Оказание преподавательских услуг';'111 176,00';'502501866951'
'3027415079124000011';'0274150791';'Текущий ремонт ангара с утеплением и установкой секционных ворот по адресу: г. Уфа Тимашевская 99 Б';'1 948 500,00';'027403306460'
'1772151001824000015';'7721510018';'Поставка электрического оборудования для автомобилей';'168 945,23';'7725267815'
'2132503147624000009';'1325031476';'оказание услуг по передаче Абонемента на техническое обслуживание программного продукта БАРС-Имущество версия 2014, ранее установленного и адаптируемого в работе ПП у Заказчика';'164 516,67';'1809905140'
'3611000452024000005';'6110004520';"'Приобретение светодиодного модульного экрана для муниципального бюджетного учреждения культуры""Тюльпановский сельский Дом культуры""'";'1 358 370,00';'9724079026'
'2482605051723000157';'4826050517';'лекарственный препарат для медицинского применения ПОВИДОН-ЙОД';'2 207 400,00';'6829119256'
'2612700995024000005';'6127009950';'Закупка ноутбуков';'354 000,00';'6165211269'
'3440101234623000004';'4401012346';'Услуги по передаче электроэнергии';'756 023,84';'4401050567'
'2110148606824000029';'1101486068';'Поставка снегохода';'457 500,00';'1101133295'
'2519010997224000273';'5190109972';'поставка лекарственного препарата для медицинского применения тоцилизумаб';'794 226,40';'5074067256'
'2402702210424000128';'4027022104';"'Поставка реагентов для амплификатора детектирующего ""ДТлайт"" в модификации 4S1'";'160 220,00';'7723537840'
'2773411532922001132';'7734115329';'Поставка расходных материалов для модулей PiCCO';'648 512,20';'9717063579'
'1784246167923000521';'7842461679';'Поставка специализированных медицинских расходных материалов для отделения кардиохирургии с хирургическим лечением сложных нарушений ритма сердца (17-3)';'5 965 271,00';'7826726110'
'1290122065423000026';'2901220654';'Тепловая энергия и теплоноситель';'133 029,97';'1103006077'
'1740500160824000010';'7405001608';'Поставка лекарственных препаратов (эноксапарин натрия, этамзилат, менадиона, клопидогрел) для нужд ФГБУ МСЧ № 72 ФМБА России.';'151 750,92';'0276065541'
'2246601861724000099';'2466018617';'Клавиатура';'23 760,00';'241103843358'
