Номер реестровой записи контракта;Заказчик: ИНН;Предмет контракта;Цена контракта;Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН
'2550302559324000245';'5503025593';'Поставка яиц куриных в скорлупе свежих';'11 340,00';'550504994420'
'2683202476623000412';'6832024766';'  поставка элементов питания к индивидуальному беспроводному оборудованию для пациентов с кохлеарной имплантацией ';'223 299,83';'7721129652'
'2263300261924000083';'2633002619';'Поставка лекарственного препарата для медицинского применения (Вориконазол)';'126 893,25';'4003032047'
'3352527917124000008';'3525279171';'оказание услуг по организации и проведению весенних Чистых игр в рамках Евразийского Кубка Чистоты';'626 850,00';'3528274037'
'1202000017919000023';'2020001126';;'184 380,59';'2014262874'
'2745313582724000699';'7453135827';'поставка лекарственного препарата для медицинского применения – ТРИМЕБУТИН для обеспечения вне федеральных перечней льготных категорий граждан дорогостоящими лекарственными препаратами, в том числе предназначенными для лечения больных гемофилией, муковисцидозом, гипофизарным нанизмом, болезнью Гоше, злокачественными новообразованиями лимфоидной, кроветворной и родственных им тканей, рассеянным склерозом, гемолитико-уремическим синдромом, юношеским артритом с системным началом, мукополисахаридозом I, II и VI типов, апластической анемией неуточненной, наследственным дефицитом факторов II (фибриногена), VII (лабильного), X (Стюарта-Прауэра), а также после трансплантации органов и (или) тканей, включая обеспечение по решениям суда';'3 582,00';'7724053916'
'2780106228019000040';'7801062280';;'177 263,07';'7805713550'
'3540713471224000023';'5407134712';'Поставка ткани';'35 960,00';'540539654281'
'2860200160924000067';'8602001609';'Поставка медицинского оборудования (аппарат для измерения артериального давления)';'7 400,00';'601400200203'
'2930700919024000018';'9307009190';'Лабораторные исследования';'42 600,00';'9308013030'
'2060806015524000015';'0608060155';'Поставка хозяйственных товаров для нужд ГБУ «РЦМК и СМП»';'222 740,70';'060800035988'
'1202000017919000024';'2020001126';;'140 600,00';'2013006003'
'3591800779220000010';'5918007792';'Снабжение тепловой энергией и теплоносителем на нужды ГВС и отопления';'1 381 156,18';'5918011573'
'1027609042824000022';'0276090428';'Поставка облучателя ультрафиолетового бактерицидного (оснащение СКП)';'41 445,64';'0268098448'
'2362402490724000019';'3624024907';'2023-16529/ Поставка продуктов питания (Майонезный соус)';'5 910,30';'3661082978'
'2366603128623000291';'3666031286';'2023-11367//.Поставка лекарственного препарата для медицинского применения дабигатрана этексилат';'9 951,45';'5044114526'
'2025800208023000242';'0258002080';'Оказание услуг по организации горячего питания для стационарных больных ГБУЗ РБ Благовещенская ЦРБ на 1 полугодие 2024 год';'3 059 100,00';'1840004884'
'0172200003014000061';'7812050079';;'109 820,12';'7841322249'
'3732200391523000006';'7322003915';'учебная литература';'247 267,35';'7715995942'
'2781107085124000197';'7811070851';'Поставка посудомоечных машин';'461 609,35';'5507238698'
'2860200160924000036';'8602001609';'Поставка расходного стоматологического материала';'101 231,46';'7204157330'
'1772800895324000050';'7728008953';'Поставка набора лабораторных реагентов для выделения ДНК';'902 403,92';'7729012173'
'3232901962624000011';'2329019626';'Поставка искусственных дорожных неровностей';'35 693,51';'230205675190'
'1027409007721000003';'0274090077';;'121 342,92';'0274018377'
'2391751525324000422';'3917515253';'на поставку лекарственных препаратов для медицинского применения (МНН: Капецитабин) для обеспечения льготных категорий граждан';'3 125 116,80';'1660049999'
'2773204454523000322';'7732044545';'Аукцион в электронной форме на право заключения гражданско-правового договора: на оказание услуг по техническому обслуживанию лифтового оборудования для обеспечения потребностей ГБУЗ «Городская клиническая больница № 17 ДЗМ» в I квартале 2024 года.';'281 244,08';'7720463654'
'1202000017919000174';'2020001126';'Оказание услуг по предоставлению телефонной связи';'325 992,00';'2014016741'
'1180870044624000006';'1808700446';'Поставка конвертов почтовых бумажных и марок почтовых';'35 000,00';'7724490000,7724490000'
'2262506830224000116';'2625068302';'Поставка лекарственного препарата  для медицинского применения для обеспечения мер социальной поддержки детям в возрасте до 3-х лет';'453 488,00';'2634089556'
'1682600552524000037';'6826005525';'Контейнер с крышкой 750 мл, р-р 179-132';'85 000,00';'682601795070'
'3232901962624000008';'2329019626';'Выполнение работ по нанесению линии разметки на дорожное покрытие автомобильных дорог';'596 458,66';'232902388686'
'2860200160924000022';'8602001609';'Поставка расходного стоматологического материала (каналонаполнитель эндодонтический)';'27 300,00';'6671092466'
'2770584037921000055';'7705840379';'Осуществление технологического присоединения к централизованной системе холодного водоснабжения по адресу: г. Москва, территория в пойме реки Чермянки вдоль Юрловского проезда до улицы Молодцова';'25 679 600,95';'7701984274'
'1180870044624000007';'1808700446';'Поставка насоса';'57 360,00';'7727309901'
'2366603128624000143';'3666031286';'Поставка лекарственного препарата для медицинского применения левофлоксацин';'3 226,40';'3662135238'
'1301508168924000171';'3015081689';'Поставка расходных материалов для рентгенэндоваскулярной хирургии';'6 856 000,00';'1001344359'
'2391751525324000015';'3917515253';'на поставку лекарственных препаратов для медицинского применения (МНН: Бисопролол)';'131 480,82';'2636801680'
'2623000909424000002';'6230009094';'Поставка салфеток антисептических';'34 566,30';'6234118224'
'2262506830224000152';'2625068302';'Поставка экспериментально-психологических методик для оснащения кабинета врача психиатра';'45 000,00';'772803732256'
'3636800083423000050';'6368000834';"'Поставка продуктов питания (молочная продукция - сыры) для нужд Государственного бюджетного учреждения здравоохранения Самарской области ""Елховская центральная районная больница""'";'77 558,00';'6345030053'
'3672201198023000002';'6722011980';'Оказание услуг по обращению с твердыми коммунальными отходами';'24 111,82';'6731069440'
'2781021452524000009';'7810214525';'Поставка государственной символики Российской Федерации (лот 1) в 2024 году';'73 000,00';'6450081970'
'3482600121324000033';'4826001213';'поставка оборудования и комплектующих для компьютерной техники (мониторы)';'654 959,50';'9718054591'
'2702102165323000593';'7021021653';'Поставка лекарственного препарата для медицинского применения группы Ипраглифлозин';'927 160,80';'9701065838'
'2773509683024000016';'7735096830';'Поставка хозяйственных товаров и инвентаря (бюджет 2024 г.)';'118 569,83';'7709848080'
'2860200160924000048';'8602001609';'Поставка медицинского инструмента (шприц для дентальной анестезии)';'145 000,00';'6660123793'
'2781107085124000179';'7811070851';'Поставка лекарственных препаратов';'42 339,00';'7810687137'
'3240300601623000002';'2403006016';'Поставка тепловой энергии';'1 774 998,06';'2460087269'
'3262301217423000002';'2623012174';'газоснабжение';'471 509,14';'2635048440'
'2784230142823000075';'7842301428';'Выполнение работ по ремонту помещений первого этажа в здании Санкт-Петербургского государственного бюджетного учреждения социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга» по адресу: г. Санкт-Петербург, ул. Кременчугская., д. 25, лит. А';'9 863 894,30';'7810732252'
'3482600121324000038';'4826001213';'поставка георгиевских лент';'61 600,00';'233611961270'
'1180870044624000021';'1808700446';'Поставка цемента строительного';'12 657,72';'1838017893'
'2290300038024000054';'2903000380';'Поставка канцелярских товаров';'9 354,71';'2901294381'
'1770659294724000430';'7706592947';'Поставка оптических дисков';'6 730,00';'6027119773'
'3662310492222000039';'6623104922';'поставка тепловой энергии и теплоносителя';'825 000,00';'7731438233'
'2745301235024000028';'7453012350';'Поставка  творога';'196 124,25';'7430018884'
'2391751525324000135';'3917515253';'на поставку лекарственных препаратов для медицинского применения (МНН: ОКСКАРБАЗЕПИН) для обеспечения льготных категорий граждан';'274 644,90';'2636801680'
'2434701760024000016';'4347017600';'Поставка контейнеров для системы химической дезинфекции медицинских инструментов';'9 900,00';'4345346631'
'3027503402924000035';'0275034029';'Оказание услуг по формированию протоколов контроля качества сетей внутреннего обеспечения';'37 091,57';'0278083634'
'2781106702320000001';'7811067023';'Оказание услуг по аренде плавательного бассейна';'1 381 016,10';'7813372960'
'2780501047724000006';'7805010477';"'Поставка микроскопов для проведения демонстрационного экзамена по компетенции ""Водные технологии"" в 2024 году'";'174 840,00';'7720855108'
'3504506235924000005';'5045062359';'Шифр: 46-2024-нр51721 Поставка ноутбуков в рамках реализации мероприятий создание и обеспечение функционирования центров образования естественно-научной и технологической направленностей в общеобразовательных организациях, расположенных в сельской местности и малых городах';'615 779,28';'0276967282'
'2246300420722000235';'2463004207';"'ЭА 81/22 ""На право поставки медицинских изделий (Контейнер для сбора проб неспециализированный ИВД, без добавок, стерильный) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2022 г.-2023 г.»""'";'239 273,60';'2464250692'
'2246300420723000235';'2463004207';"'ЗК 48/23 ""На право поставки медицинских изделий (Маска хирургическая, одноразового использования) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. – 2024 г.""'";'17 800,00';'2463259220'
